wilderness	n. 荒野, 荒地
lingual	adj. 舌的, 舌音的, 语言的 n. 舌音, 舌音字
psychologist	n. 心理学家
speech	n. 演讲,对话,话语,语言
noticeable	adj. 显而易见的
auto	n. autos=automobile 自动汽车 pref. 自动的,自己的
tourist	adj. 旅游的 n. 旅游者,观光者
track	n. 小路, 跑道, 轨道, 踪迹; 惯例, 常规 v. 跟踪, 追踪
tech	n. 技术人员，技术科技 abbr.(=technical, technically, technological)
director	n. 董事,经理,主管,指导者,导演
military	adj.军事的；军用的；讨厌的；好战的 n.军人；军队；武装力量
enroll	vt. &vi. 登记,使加入,卷起
facilitator	n. 帮助者，推进者
competitive	adj. 竞争的, 比赛的
presence	n. 出席,在场者,举止
transformation	n. 转型,转化,改造
epitome	n. 摘要, 缩影, 化身
survival	n. 生存,幸存者
laser	n. 激光
civil	adj. 国内的,公民的,文明的, 有礼貌的, 民用的
literacy	n. 读写能力，识字
claim	n. 要求,要求权;主张,断言,声称;要求物 vt. 要求,请求；主张,声称,断言
sponsorship	n. 发起(主办, 倡议, 赞助)
execution	n. 实行,完成,执行
classical	adj. 古典的, 典雅的, 经典的
treatment	n. 治疗,疗法,处理
emphasise	vt. 强调,着重
flexible	adj. 灵活的,易弯曲的,柔韧的,可变通的
electrical	adj. 电的,电气科学的
astronomy	n. 天文学
fascinate	vt. 使...入迷,吸引住 vi. 有吸引力
notable	adj. 显著的, 著名的 n. 名人
premature	adj. 早熟的,过早的,不按时的 n. 早产儿,早发
spreadsheet	电子表格, 数据表
obligation	n. 义务, 责任
inhabit	v. 居住于, 占据, 栖息
legal	adj. 法律的,合法的,法定的
terminate	adj. 有结尾的,有限的 vt. 结束,终止,满期 vi. 达到终点
obnoxious	adj. 可憎的, 不愉快的, 讨厌的
comet	n. 彗星
journal	n. 日记, 杂志, 日报
advise	vt. 劝告,警告,通知 vi. 劝告,与...商量
commentary	n. 实况报道，现场解说,评论,注释，批评
initial	n. (词)首字母 adj. 开始的, 最初的, 字首的 vt. 签姓名的首字母于
liable	adj. 有义务的,应负责的,有...倾向
strategy	n. 战略, 策略
note	n. 笔记, 注解, 备忘录, 音符, 音调, 票据, 便条, 纸币 vt. 记录, 注解, 注意
formulation	n. 形成, 简洁陈述, 公式化
previous	adj. 在...之前, 先, 前, 以前的
fortunate	adj. 幸运的,侥幸的
immediate	adj. 立即的, 即刻的, 直接的, 最接近的
revert	vi. 恢复,复归,回到
affecting	adj. 感人的, 动人的 动词affect的现在分词
committee	n. 委员会
linen	n. 亚麻布,亚麻线,亚麻制品 adj. 亚麻布制的,亚麻的
impression	n. 印象, 效果
absenteeism	n. 旷课, 旷工
subject	n. 科目, 主题; 缘由 n. (君主国)国民; 实验对象 adj. 服从的, 易患的 vt. 使隶属, 使服从; 使遭遇
oblige	vt. 强制, 施恩惠 vi. 帮忙
repertoire	n. (准备好演出的)节目, 保留剧目, (计算机的)指令表, 指令系统, &lt;美&gt;(某个人的)全部技 能, 清单,指令表
process	n.过程； 工序； 做事方法； 工艺流程 vt.加工； 处理； 审阅； 审核 vi.列队行进 adj.经过特殊加工（或处理）的
vulnerable	adj. 易受伤害的, 有弱点的
substantial	n. 重要部份, 本质 adj. 大量的, 实质上的, 有内容的
universe	n. 宇宙
approval	n. 批准, 认可, 同意, 赞同
adaptation	n. 改编,适应,改编成的作品
perceptual	adj. 感性的, 知觉的
frustration	n. 打破,挫折,顿挫 [计算机] 失败
frenzy	n. 狂暴, 狂怒
promote	vt. 促进, 提升, 升迁; 发起; 促销
frugal	adj. 节俭的
deprivation	n. 剥夺, 剥夺官职, 免职
gene	n. 基因
proportion	n. 比例,均衡,部分 vt. 使成比例,使均衡,分摊
sum	n. 总数(计),金额,顶点,概略,一笔钱 vt. 总计,概括 vi. 总计
propose	v. 计划, 打算, 向...提议; 求婚
conclusion	n. 结论
convergence	n. 汇聚,汇合点,收敛
conductor	n. 售票员，导体，指挥
conference	n. 会议
inhibit	vt. &vi. 禁止,抑制 [计算机] 禁止
economical	adj. 节俭的, 经济的, 合算的
publication	n. 出版, 发行, 出版物, 公布, 发表
texture	n. 质地；纹理；结构；本质，实质
architectural	adj. 建筑的,建筑学的,建筑术的
abstract	n. 摘要,抽象的东西 adj. 抽象的,理论的 vt. 移除,摘要,偷 vi. 做摘要
recruitment	n. 征募新兵, 补充
popularity	n. 普及,流行
militant	adj. 好战的, 积极从事或支持使用武力的
conscience	n. 良心, 责任心, 顾忌
sequence	n. 序列, 一系列, 顺序, 一组镜头 vt. 安排顺序
accidental	adj. 意外的,偶然的,附属的 n. 偶然,不重要的东西,变调的临时符号
hamper	n. 食盒,食篮 v. 阻碍,使...困累,困累
intermittent	adj. 间歇的,断断续续的
rationale	n. 基本原理(理论基础的说明,原理的阐述)
consist	n. 组成 vi. 组成,存在,一致
vegetable	n. 蔬菜；植物人；生活单调乏味的人 adj. 植物(性)的；得自植物的；关于植物的；蔬菜的
accuracy	n. 准确(性), 精确度
abundance	n. 丰富,充裕
avoidance	n. 避免
consumption	n. 消费
contemporary	n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
complementary	adj. 补充的, 互补的
misconception	n. 误解, 错误想法
concede	vt. 承认,给予 vi. 让步
partnership	n. 合伙, 合股
employee	n. 雇员
naturalistic	adj. 自然的,自然主义的,博物学的
uniform	adj. 一致的,统一的 n. 制服 vt. 穿制服
convey	vt. 传达,运输,转移 [计算机] 输送
gloat	v. 满足地看，沾沾自喜，幸灾乐祸
maintain	vt. 维持; 维修, 保养; 坚持; 断言
cope	v. (with)竞争,对抗,对付,妥善处理 vi. 对付,妥善处理
debate	n. 辩论,讨论 vt. 争论,思考 vi. 商讨,辩论
engine	n. 发动机, 引擎, 机车, 火车头 vt. 装引擎
minor	adj. 次要的, 较小的, 二流的, 未成年的 n. 未成年人, 辅修科目, [音乐]小调 vi. 辅修
contemplate	vt. 注视,沉思,打算
dramatic	adj. 戏剧性的,引人注目的,给人深刻印象的
oriental	adj. 东方(人)的,贵重的
visual	adj. 视觉的 n. 画面, 图象
equal	adj. 相等的,平等的,胜任的 n. 对手,匹敌,同辈 vt. 等于,比得上
speculation	n. 沉思, 推测, 投机
recede	vi. 后退,减弱 vt. 撤回
immaculate	adj. 洁白的(无缺点的,无瑕疵的)
impasse	n. 僵局, 死路
commentator	n. 注释者(注释者,解说员,新闻广播员)
comprehend	vt. 充分理解(综合,包含)
privacy	n. 隐私, 隐居, 秘密
prosper	v. 兴隆,成功,使...昌盛
sight	n. 景观, 视力, 眼界 vt. 看见, 观看 vi. 瞄准
sign	n. 符号, 正负号, 手势, 迹象, 招牌 v. 签, 做手势, 做标记
herbalism	n. 草药医术学
inadequate	adj. 不充分的,不适当的
relentless	adj.不懈的； 坚韧的，不屈不挠的； 不间断的； 未减轻的
analyse	vt. 分析, 检讨, 细察
rhetoric	n. 修辞, 华丽虚饰的语言, 修辞学
narrator	n. 叙述者(讲解员,播音员)
curtail	vt. 缩减, 削减，截短
solemn	adj. 庄严的, 严肃的, 隆重的
retail	n. 零售 vt. 零售 adj. 零售的 adv. 以零售形式
retort	v. 反驳, 回嘴, 反击 n. 反驳, 顶嘴 n. 蒸馏器
recollect	v. 回忆, 回想, 忆起
pretense	n. 借口, 虚假, 伪装
suffice	vi. 足够,合格 vt. 使...足够
counsel	n. 商议, 忠告, 法律顾问 v. 商议, 劝告
initially	adv. 最初, 开头
prefer	vt.更喜欢； 提升，提拔； 给予（债权人）优先权； 提出（控告） vi.更喜欢，宁愿
tentative	n. 试验,假设 adj. 试验性质的,暂时的,犹豫不决的
appointment	n. 约会, 预约, 任命, 委派, 官职, 设备
approach	n. 接近; 途径, 方法 v. 靠近, 接近, 动手处理
appropriate	adj. 适当的, 相称的 vt. 拨出(款项); 占用
executive	n.总经理； 行政部门； [计算机]执行指令 adj.执行的； 管理的； 政府部门的
calculation	n. 计算
interpret	v. 解释, 演出, 翻译 [计算机] 解释
grass	n. 草 vt. 以牧草喂养,覆盖着草
abstraction	n. 抽象, 抽象概念, 心不在焉
fibre	n. 纤维, 纤维组织, 织地
certain	adj. 一定的 pron. 某几个,某些  肯定的,无疑的,必然发生的
reliable	adj. 可靠的,可信的
expression	n. 表达,表示,表现,表情,措辞,词句
extension	n. 延长,扩充,范围,分机号码
suppress	vt. 镇压,使...止住,禁止
capable	adj. 有能力的，足以胜任的, 有...倾向的
savor	n. 滋味, 气味, 食欲, 特定的味道或气味, 一种有特色的性质 vi. 有...的滋味, 有...气味 vt. 加调味品于, 使有风味, 尝到或闻到, 尽情享受
delighted	adj. 高兴的, 快乐的 v. 快乐, 喜悦
supply	n. 补给,供给,供应，贮备 vt. 补给,供给,提供,提供足够以满足
registration	n. 登记,注册,挂号
deviate	vt. 使偏离, 脱离 vi. 违背,偏离 n. 叛离者,偏差, 不正常的人或物 adj. 离经叛道的
naive	adj. 天真的,幼稚的
minimum	adj. 最低的, 最小的 n. 最小量, 最低限度
consecutive	adj. 连续的,连贯的
integration	n. 综合, 集成, 同化
dioxide	n. 二氧化物
preconception	n. 预想(先入之见,偏见)
missile	n. 导弹,投射物
conspicuous	adj. 显著的,显而易见的, 显眼的
hormone	n. 荷尔蒙, 激素
perform	v. 执行, 表演, 做
moderate	adj. 适度的, 稳健的, 温和的, 中等的 v. 节制, 使...稳定, 使...缓和 n. 稳健的人
sociology	n. 社会学, 社会关系学, 群落生态学
predator	n. 食肉动物,掠夺者
response	n. 反应, 响应; 回答
skeptical	adj. 怀疑的
summarise	v. 概括 =summarize（英）
persuade	v. 说服 vt. 劝说,说服
favourite	adj. 特别喜爱的 n. 特别喜爱的人(或物)
photograph	n. 相片 vi. 照相,摄影 vt. 给...照相
adolescent	adj. 青春期的, 青少年的 n. 青少年
physical	adj. 身体的,物理的,物质的 n. 体检
motion	n.运动； 手势； 动机，意向； 请求 vt.打手势； 向某人点头或摇头示意； 打手势要求[指示] vi.运动； 打手势
revise	n. 校订, 修正, 再校稿 v. 校订, 修正, 校正
encyclopaedia	n. 百科全书
standardize	v. 标准化, 使合于标准
encounter	n. 意外的相见,遭遇 vt. &vi. 遇到,偶然碰到,遭遇
assistance	n. 帮助, 援助
authority	n. 权威；权力；当局
hypocrite	n. 伪君子, 伪善者
stubborn	adj. 顽固的, 倔强的，难对付的
chief	adj. 主要的, 首席的 n. 首领
engagement	n. 诺言, 约会, 婚约, 交战, 雇用, (机器零件等)啮合
spray	n. 水沫,喷雾器 vt. &vi. 喷雾,扫射,喷射
spread	n. 传布, 伸展 adj. 扩延的 v. 传布, 推广, 伸出
suicide	n.自杀； 自杀者； 自杀行为 vt.自杀 adj.自杀的
congested	adj. 拥挤的 动词congest的过去式和过去分词
erosion	n. 腐蚀,侵蚀
discourage	vt. 使气馁,阻碍
transform	vt. 转换,变形 vi. 改变 n. 变形
organisation	n. 组织，团体，有机体 =organization（英）
generous	adj. 慷慨的,宽宏大量的,丰盛的,味浓的
exile	n. 放逐,流放,被放逐者 vt. 放逐,流放
treat	v. 对待, 治疗，处理，请客，视为 n. 款待，宴飨
overt	adj. 公开的, 明显的, 公然的
archaeology	n. 考古学，古迹，文物
intensive	adj. 强烈的, 密集的, 精细的, 强调的 n. (语法)强调成份
publisher	n. 出版者, 发行人
motivated	adj. 有积极性的
term	n.学期； 条款； 术语； 期限 vt.把…称为； 把…叫做
triangle	n. 三角(形)
facilitate	vt. 帮助, 使...容易, 促进
positive	adj. 肯定的, 积极的, 绝对的 adj. 正面的, 正数的, 阳性的
possess	v. 持有,克制,为...着迷
avail	vi. 有利 vt. 有用 n. 益处
cue	n. 字母Q,信号,线索,球杆 vt. 暗示,用球杆打球 vi. 使用球杆
benevolent	adj. 仁慈的,乐善好施的
collaboration	n. 合作, 通敌
consumerism	n. 用户至上主义, 商品的消费和销售性服务
establish	v. 建立, 确立, 创办
sinister	adj. 不吉利的, 凶恶的, 左边的
communicator	n. 传播者, 传播工作者
deteriorate	vt. (使)恶化 vi. (使)恶化, 瓦解, 衰退
collective	adj. 集体的,共同的 n. 集体
tolerant	adj. 宽容的, 容忍的
column	n.纵队，列； 圆柱； 专栏
advertisement	n.&amp;adv. 广告
combine	n. 集团,联合收割机 v. 化合,结合,联合 vi. 结合,联合 vt. 使结合,使联合
prepare	vt.准备； 预备（饭菜）； 配备； 使（自己）有准备 vt.& vi.筹备，进行各项准备工作； 做好思想准备； 作出，制订； 锻炼（身体等），训
liberal	n. 自由主义者, 宽容大度的人, (Liberal)自由党人 adj. 无偏见的, 慷慨的, 不拘泥的, 宽大的, 开明的
prescribe	vi. 规定,开药方 vt. 规定,命令,开处方
liberation	n. 解放，解放运动（为获得平等权利和地位的行为）
preserve	vt.保护； 保持，保存； 腌制食物； 防腐处理 vi.保鲜； 保持原状； 做蜜饯； 禁猎 n.蜜饯； 防护用品； 禁猎地； 独占的事物（或范围）
indifference	n. 不重视, 无兴趣, 漠不关心
criticise	v. 批评，评论，吹毛吹疵 =criticize（美）
recruit	n. 招聘,新兵,新成员 vt.&vi. 恢复,补充,徵募
scan	vt. 扫描；浏览；细看；详细调查；标出格律 vi. 扫描；扫掠 n. 扫描；浏览；审视；细看
standardise	vt. 使标准化，使合标准 =standardize(美)
prime	adj. 最初的,首要的,最好的，典型的 n. 青春,壮年,全盛时期 vt. 事先指点,在（金属、木材等上）打底漆  vi. 变得首要
dredge	n. 挖泥机, 捞网 v. 用挖泥机疏浚 v. 把粉撒在
exaggerate	vt. &vi. 夸大,夸张
principle	n. 原则, 原理, 主义, 信念
partition	n. 分割,隔离物,隔墙 v. 区分,隔开,分割
frame	n. 框,结构,骨架 v. 构成，把...框起来，陷害 adj. 木结构的
object	n. 物, 物体, 目标, 宾语 v. 反对，提出...作为反对的理由
promising	adj. 有希望的,有前途的
dissertation	n. 论文
economist	n. 经济学家 &lt;古&gt;节俭的人
fortify	vt. 强化，增强，筑防御工事于，（物质或精神上）支持或鼓励 vi. 构建防御工事
appear	vi. 出现,显得,出版,抵达
appoint	vt. 任命,指定,预约,装饰 vi. 行使任命权
adaptive	adj. 适合的,适应的,能适应的
adventurous	adj. 爱冒险的,大胆的,危险的
compose	vt. 组成, 写作, 作曲, 使镇静 vi. 创作
coerce	vt. 强制，迫使，威胁
comprise	vt. 包含,构成
timid	adj. 胆怯的,害羞的
subtract	vt. 扣掉 vi. 减少
seize	vt. 抓住,攻占,理解,侵袭 vi. 抓住,卡住,终止
linguistic	adj. 语言的, 语言学的
competent	adj. 有能力的,胜任的,足够的
solitary	adj. 孤独的,独立的,荒凉的 n. 隐士,
genetic	adj. 基因的, 遗传的, 起源的
isolation	n. 隔离, 孤立
horrible	adj. 可怕的,令人毛骨悚然的,令人讨厌的
effect	n. 结果, 影响, 效果; 要旨 vt. 招致, 引起; 实现, 达到
similarly	adv. 相似地, 类似地
accelerate	vt. 加速,提前,跳级 vi. 加速
impair	vt. 损害,削弱 [计算机] 损伤
vanish	vi. 消失,不见了,绝迹 vt. 消失
generation	n. 代, 一代
variety	n. 多样, 种类, 杂耍
set	vt.放置，安置； 使处于某种状况； 设置； 摆放餐具 vi.落山； 出发； 凝结 n.一套，一副； 集合； 布景； 电视机 adj.固定的； 位于…的； 顽固的； 安排好的
purity	n. 纯净, 纯正, 纯粹
electricity	n. 电力；电流；强烈的紧张情绪
electronic	adj.电子的； 电子操纵的； 用电子设备生产的； 用电子设备完成的
aggregate	n. 合计, 总计, 集合体 adj. 合计的, 集合的, 聚合的 v. 聚集, 集合, 合计
classic	n. 古典作品,杰作,第一流艺术家 adj. 第一流的,最优秀的,古典的
elimination	n. 除去, 消除
pretentious	adj. 自负的, 自命不凡的，炫耀的
priority	n. 优先权, 优先顺序, 优先
probe	n. 探针,调查,探测器 vt. 用探针测,详细调查 vi. 详细调查
acute	adj.尖的，锐的； 敏锐的，敏感的； 严重的，剧烈的； [医]急性的, 激烈的, 尖锐的
lung	n. 肺,呼吸器官
adequate	adj. 足够的, 充足的, 适当的, 能胜任的
adjust	vt. 调整, 使...适于 vi. 适应
convention	n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
employment	n. 工作,职业,雇用,使用
convert	v. 使转变, 使...改变信仰, 倒置 n. 皈依者, 改宗者
operator	n. 操作员,管理者,技工,报务员
myth	n. 神话
affection	n. 慈爱,爱,感情
vital	adj. 至关重要的, 生死攸关的, 有活力的, 充满生机的
oppose	vt. 反对,以...对抗,抗争
opposite	adj. 相对的, 相反的, 对面的 n. 对立物，对立者，对手 adv. 在对面地，处于相反位置地 prep. 在...对面
oppress	v. 使(心情等)沉重,使烦恼,压迫,压制某人 vt. 压迫,压制
erratic	adj.飘忽不定的； 行为古怪，反复无常； （运动或行为）不规则的
versatile	adj. 多才多艺的,多方面的，通用的，
core	n.中心，核心，精髓； 果心，果核； [地质学]地核； [计] 磁心 vt.去（果）核，挖去…的果心； 提取岩芯（样品）
nonetheless	adv. 尽管如此(仍然) conj. 尽管如此(仍然)
coach	n. 大巴, 教练; (火车)客车车厢, 四轮马车, 经济舱 vt. 训练, 指导 vi. 训练, 指导
vote	v.投票，选举； 提议； 投票表决； 公认，由舆论决定 n.投票，表决； 投票数； 投票权； 决议
quantitative	adj. 数量的,定量的
pesticide	n. 杀虫剂
academy	n. 学院,学术,学会
humane	adj. 仁慈的，人道的
indication	n. 象征,迹象,指示,表示
specifically	adv. 特定地,明确地
illusion	n. 幻觉,错觉,错误的信仰(或观念)
equation	n. 相等,方程(式),等式,均衡
era	n. 纪元, 时代, 年代
phobia	n. 恐怖病, 恐怖症
influential	adj. 有权势的,有影响的 n. 有影响力的人物
reconstruct	vt. 重建, 修复, 重现
inhabitant	n. 居民
maximal	adj. 最大的, 最高的
injury	n. 受伤处,损害,伤害
criminal	adj. 犯罪的, 刑事的, 无耻的 n. 罪犯
conceptual	adj. 概念上的
subsidiary	adj. 辅助的,附属的 n. 子公司,附属机构
reality	n. 现实,实际,真实
disciplinary	adj. 训练的, 规律的, 训戒的
overlap	n. 重叠,重复 vt. 重叠,重复 vi. 有重叠部分 [计算机] 重叠
adverse	adj. 不利的；有害的；反面的
reservation	n. 预定，保留意见
consumer	n. 消费者,用户, 消费品
install	v. 安装,安置,使...就职 n.[计算机] 安装,DOS命令 : 装入结束且驻留软件
incoherent	adj. 不连贯的, 语无伦次的
voyager	n. 航行者, 航海者
evolution	n. 进化, 发展, 进展
revulsion	n. 剧变, 非常的厌恶, 剧烈的反应
recommendation	n. 推荐, 介绍
contour	n. 轮廓(等高线,周线,电路,概要) vt. 画轮廓(画等高线) adj. 显示轮廓的
predictable	adj. 可预言的
amoral	adj. 与道德无关的, 超道德的
apparent	adj. 显然的；表面上的；似乎真实的
predominate	v. 掌握,控制,成为主流
juvenile	adj. 年轻的,青少年的,幼稚的 n. 青少年,青少年读物,幼雏,扮演少年的演员
initiate	n. 创始人 adj. 新加入的 vt. 开始,创始,启蒙,介绍加入
custom	n. 习惯, 风俗, 海关
tension	n. 紧张,张力,拉力 vt. （使金属线、帆等）拉紧
intentional	adj. 企图的, 策划的, 故意的
abolish	vt. 废止,革除
tribal	adj. 部落的, 种族的
chronic	adj. 长期的,慢性的,惯常的
delusion	n. 错觉
invade	vt. 侵略,侵害,拥入
relation	n. 关系,家人,亲戚,叙述,陈述
express	n. 快车, 快递, 专使 adj. 急速的, 明确的, 直接的 adv. 用快递; 特意地 vt. 表达, 表示; 挤压出; 快递
discern	vt.看出； 理解，了解； 识别，辨别 vi.辨明，分清
passive	adj. 被动的,消极的 n. 被动性
guidance	n. 引导,指导,导航系统
detrimental	adj. 有害的 n. 有害的人或事
probability	n. 可能性, 或然率, 机率
revitalize	v. 使复活, 使重新充满活力 vt. 使复兴, 使苏醒, 使复活, 使恢复
deter	v. 制止,使...断念
query	n. 疑问,疑问号,质问 vt. 询问,表示怀疑
cognize	v. 认知，认识
signify	v. 象徵, 预示
textile	adj. 纺织的 n. 纺织品
society	n. 社会, 社团，阶层圈子
grief	n. 悲痛,忧伤
diminish	vt. 减少,变小, 减损 vi. 变少, 逐渐变细
delight	n. 快乐,高兴 vi. 给与乐趣,使高兴 vt. 使高兴
legislation	n. 立法, 法律
subjective	adj. 主观的 n. 主格,主观事物
defeat	n. 败北,失败 vt. 击败
disproportionate	adj. 不成比例的
treatise	n. 论文, 论述
subside	vi. 沉没,平息
dusty	adj. 满是灰尘的
ecologist	n. 生态学家
cattle	n. 牛 n. 家畜，马，无价值的人，畜牲
desert	n. 沙漠,荒地,应得(的惩罚或奖励)adj. 沙漠的,荒凉的vt. 遗弃vi. 擅离职守
dogmatic	adj. 教条的, 武断的
interval	n. 间隔,休息时间, (数学)区间, (音乐)音程
diversion	n. 转向, 转移, 娱乐活动
perspective	n. 远景, 看法, 透视 adj. 透视的
fatigue	n.   疲乏,疲劳,累活 adj. 疲劳的 vt.  使...疲劳,使...心智衰弱 vi.  疲劳
destruction	n. 破坏,毁灭,破坏者
infrastructure	n. 下部构造, 下部组织, 基础结构, 基础设施
determine	vt.& vi.（使）下决心，（使）做出决定 vt.决定，确定； 判定，判决； 使决定； 限定 vi.[主用于法律]了结，终止，结束
photographic	adj. 摄影的，逼真的
span	n.共轭（马、骡）； 跨度，墩距； 一段时间； [航] 跨绳 vt.缚住或扎牢； 跨越时间或空间； 以掌测量； 以手围绕测量类似测量
drawing	n. 图画,绘图技巧,素描
enforcement	n. 厉行, 执行, 强制
lucrative	adj. 有利益的,获利的,合算的
parallel	adj. 平行的,相同的,类似的,并联的 adv. 平行地 n. 平行线(面),相似物,对比 vt. 相比,相应,与...平行
glib	adj. 能说善道的
curative	adj. 治病的, 有治病效力的 n. 医药, 治疗药
eligible	adj. 可以选的,有资格的,合格的 n. 有资格者,合格者,适任者
distinct	adj. (from)独特的,不同的,明显的,清楚的
justified	adj. 有正当理由的,合理的,合法化的
exemplify	vt. 例证,例示
adhere	vi. 坚守于, 对...忠贞, 紧抓着, 遵守 vt. 使附着, 使粘牢
symbolize	v. 象征, 用记号表现
blunt	adj. 迟钝的,钝的,直接的 vt.& vi. 使变钝 n. 混了大麻的雪茄
mysterious	adj. 神秘的,不可思议的
squander	v. 浪费, 使...散开
prehistoric	adj. 史前的
imagine	vt. 想像,幻想,猜测 vi. 想像起来,认为
relationship	n. 关系, 关联
circulate	vi. 流通,循环,传播 vt. 使流通
disease	n. 疾病,弊端
indicator	n. 指示器, 指示剂 [计算机] 指示符
transmit	vt. 传输, 传送, 代代相传, 传达 vi. (以无线电或有线电的方式)发送信号
exclusive	adj. 独占的, 唯一的, 排外的; 高价的, 时髦的 [计算机] 互斥的 n. 独家新闻, 独权
discrete	adj. 不连续的 离散的 [计算机] 分离 离散
necessary	adj. 必需的,必要的,必然的 n. [pl.]必需品
archaeologist	n. 考古学家
constitution	n.建立，组成； 体格； 构成方式； 宪法
libel	n. (文字)诽谤, 侮辱 vt. 诽谤, 中伤, 损害名誉 vi. 发表诽谤言论
supplement	n. 补充物,增刊 vt. 补充,增补
extinct	adj. 灭绝的,熄灭的 n. 消灭,熄灭
divide	vt.& vi.分； 划分； 分离； （使）产生分歧 n.分水岭，分界线； 分配
triumph	n. 凯旋,欢欣 vi. 得胜,成功,庆功
viable	adj. 能生存的,可行的,能居住的的
assurance	n. 保证,确信,肯定,自信,(人寿)保险
disposable	adj. 用完即可丢弃的
complacent	adj. 满足的, 自满的, 得意的
oppression	n. 压抑, 沉闷, 压迫手段
narration	n. 叙述
novice	n. 新手,初学者
tunnel	n. 隧道,地下道 v. 挖隧道
obedience	n. 服从, 顺从
document	n. 文件,公文 vt. 记载,用文件等证明 [计算机] 文档
idealistic	adj. 理想主义的
publicise	vt. 宣传，宣扬 =publicize(美)
firework	n. 焰火 (复数)fireworks:烟火大会,(热情,怒气等的)迸发
collapse	n. 崩溃,倒塌,暴跌 vi. 倒塌,崩溃,瓦解,折叠 vt. 倒塌,缩减
fallible	adj. 易错的,可能犯错的
leisure	n. 闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
angle	n. 角(度),角落 vt. 斜移,转变角度 vi. 钓鱼,谋取,转变角度 n. (Angle)盎格鲁人
simulation	n. 模拟,仿真,赝品
praise	n. 赞美,称赞,崇拜 vt. 称赞,归荣誉于,赞美 vi. 赞美
selective	adj. 选择的, 选择性的
minimise	vt. 成极小(求最小值, 轻视, 信务剧减)
discriminate	vt. 区分，区别对待 vi. 辨别，差别对待
anticipation	n. 预期, 预料
flaw	n. 缺点,裂纹,瑕疵,突然的狂风天气 vi. 变得有缺陷 vt. 使破裂
mania	n. 狂躁, 热衷, 狂热
indicate	v.指明, 表明, 显示, 象征, 指示
agreement	n. 同意, 一致, 协议
trivial	adj. 琐碎的, 不重要的
investor	n. 投资者
ignorant	adj. 不知道的, 无知的, 愚昧的
former	adj. 以前的,在前的 pron.&amp;n. 前者
stress	n. 紧张, 压力 v. 强调, 着重 vt. 强调 n.负载
overwhelm	v. 淹没,受打击,压倒
algorithm	n. 算法
sufferer	n.受难者,患者,被害者
scent	n. 气味,香味,痕迹 vt. 闻出,发觉,使充满味道,得到...的暗示 vi. 嗅闻,循着遗臭追踪,散发气味
flippant	adj. 轻率的, 没礼貌的 adj. [古]能说会道的
implication	n. 暗示,含意
ancient	adj. 古代的,古老的 n. 古人, 古货币
welfare	n. 福利,社会保障,幸福 adj. 福利的
abandonment	n. 放弃, 自暴自弃, 放纵
subsequent	adj. 随后的,后来的
conceive	vt. &vi. 构思,以为,怀孕
congest	vt. 使充满, 使拥塞, 使充血 vi. 充塞, 充血
succeed	vt. 成功,继承,继续 vi. 接替,有作为
dull	adj. 呆滞的,迟钝的,无趣的,钝的,暗的 vt. 使变钝 vi. 变钝
literature	n. 文学, 文献
prominent	adj. 杰出的,显著的,突出的
collection	n. 收藏品,收集物,小组,集合
dilemma	n. 困境,进退两难
fruitful	adj. 多产的, 富有成效的
loan	n. 贷款, 借出, 债权人 v. 借, 供应货款, 借给
informative	adj. 情报的, 使知道消息的, 见闻广博的
fundamental	adj. 基本的,根本的,重要的 n. 基本原理,基础
furnish	vt. 布置,提供,装备
assemble	vt. 聚集,集合,装配 vi. 集合, 聚集
circulation	n. 流通,循环,发行量,消息传播
generative	adj. 生殖的, 生产的, 有生殖力的
absolute	adj. 绝对的,完全的,无限制的,独立的,专制的 n. 绝对的事物
portray	v. 描写,描写...的肖像,逼真地描写
projector	n. 放映机(探照灯, 发射装置, 设计者, 制图投射线)
whale	n. 鲸,大量 vi. 捕鲸 vt. 鞭打,打击,打败
capability	n. 能力,才能,性能,容量
survey	n. 调查; 纵览, 视察, 测量 vt. 审视, 视察, 通盘考虑, 调查; 勘测 vi. 测量, 勘测
dominance	n. 支配(控制, 统治, 权威, 优势)
punch	n. 打洞器,钻孔机,殴打 n. 酒、水、糖等制成的鸡尾酒 vt. 以拳重击,开洞,剪票,按(键)
minimal	adj. 最低限度的,最小的
election	n. 选举
category	n. 种类, 类别
presentation	n. 陈述, 介绍, 赠与 n. [美]讲课, 报告
constant	adj. 经常的, 不变的 n. 常数, 恒量
venture	n. 冒险,风险,投机 vt. 敢尝试,谨慎地做，冒险一试 vi. 冒险做
presume	vt. 姑且认定，假定，推测，认为是理所当然 vi. 假设，越权行事
corporate	adj.社团的, 法人的, 共同的, 全体的
misleading	adj. 使人误解的
sympathy	n. 同情,忠诚,感应
profound	adj. 极深的,深奥的,深厚的,严重的
vigorous	adj. 精力充沛的,元气旺盛的,有力的
photographer	n. 摄影师
convenient	adj. 方便的
historian	n. 历史学家，编史者
cube	n. 立方体,立方 vt. 求...的立方 adj. 立方的
reciprocate	v. 互换, 交换, 报答，往返运动
clinic	n. 诊所,门诊部,科室
deposit	vt. 存放, 堆积, 使沉淀 vi. 沉淀 n. 存款, 定金, 堆积物
fitness	n. 适合度（生物学术语） n. 健康
